id,calories,proteins,fat,carbohydrate,name,kategori,image,kategori_kalori
41,116.0,11.9,4.9,6.1,Bekasam,Protein,https://assets-a1.kompasiana.com/items/album/2021/11/13/bekasam-kuliner-fermentasi-khas-wong-sumsel-shd-1-removebg-preview-618f54d2c26b771c5c083212.png,Sedang
42,78.0,11.4,2.0,3.6,Bekasang,Protein,https://www.surabayapagi.com/po-content/photo/big/a782bead716a8dbee3762c8c79ec4e54.jpg,Rendah
43,36.0,0.4,0.4,8.8,Belimbing,Karbo,https://cdn0-production-images-kly.akamaized.net/vVBJG9Flt0ncPec4-hGyZftu4og=/1200x900/smart/filters:quality(75):strip_icc():format(jpeg)/kly-media-production/medias/2778801/original/086460500_1556885614-belimbing.jpg,Rendah
44,145.0,1.2,0.4,34.2,Belitung talas kukus,Karbo,https://asset-a.grid.id/crop/0x0:0x0/700x0/photo/2020/06/29/1496174786.jpg,Sedang
45,417.0,25.9,19.4,32.0,Belut goreng,Karbo,https://asset.kompas.com/crops/EIwKgK9ZA21scjpbrA9zMJehUIU=/100x67:900x600/750x500/data/photo/2021/03/23/6059483f259e2.jpeg,Tinggi
46,55.0,1.4,0.2,12.8,Bengkuang,Karbo,https://sampangkabmuseumjatim.files.wordpress.com/2014/08/talas.jpg,Rendah
47,98.0,1.6,0.7,20.9,Bentul (Komba)  talas ,Karbo,https://i.ytimg.com/vi/zJ9Rg_MIGfY/maxresdefault.jpg,Rendah
48,71.0,2.3,0.3,15.4,Bentul talas kukus,Karbo,https://1.bp.blogspot.com/-bI9SR2CfOMQ/VIuCEHs40eI/AAAAAAAAAK8/iE3VYEXXno8/s1600/1460018_556060297809682_917149226_n.jpg,Rendah
49,181.0,4.0,1.2,37.3,Beras Ketan Hitam kukus,Karbo,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2021/5/19/6313260c-769d-4875-a3b2-ab4681eff412.jpg,Sedang
50,166.0,3.8,1.0,34.4,Beras Ketan Hitam tape,Karbo,https://ceklist.id/wp-content/uploads/2021/08/Tepung-Ketan-Hitam-Terbaik.jpg,Sedang
51,163.0,3.0,0.4,35.7,Beras Ketan Putih kukus,Karbo,https://awsimages.detik.net.id/community/media/visual/2020/06/23/tape-ketan-putih-2.jpeg?w=1280,Sedang
52,172.0,3.0,0.5,37.5,Beras Ketan Putih tape,Karbo,https://www.melatiputrajaya.com/wp-content/uploads/2021/02/Tepung-Beras-Ketan-sumber-Bola-Keluarga.jpg,Sedang
53,145.0,16.3,7.0,4.1,Betok wadi ,Protein,https://ik.imagekit.io/dcjlghyytp1/2020/03/curry-1609780_1920.jpg?tr=f-auto,Sedang
54,154.0,3.0,4.5,25.5,Bihun Goreng ,Karbo,https://img-global.cpcdn.com/recipes/98b4c2fca1b1e699/1200x630cq70/photo.jpg,Sedang
55,381.0,6.1,3.9,80.3,Bihun goreng instan,Karbo,https://cdn.idntimes.com/content-images/post/20190917/ts3-afd6374f037588e5b1267149563c6ce7.jpg,Tinggi
56,225.7,3.0,0.3,52.9,Bika Ambon ,Karbo,https://img-cdn.medkomtek.com/9nrwopmWH6OZWfzLJFo3sIIrBns=/0x0/smart/filters:quality(75):strip_icc():format(webp)/article/gHEIB2nYYci1BklN8-Ocn/original/014067600_1615200086-kadar-alkohol-di-dalam-berbagai-jenis-minuman-keras.jpg,Sedang
57,458.0,6.9,14.4,75.1,Biskuit,Karbo,https://static.honestdocs.id/system/blog_articles/main_hero_images/000/002/304/original/14_Manfaat_Buah_Bit_Bagi_Kesehatan_Tubuh.jpg,Tinggi
58,42.0,1.6,0.1,9.6,Bit,Karbo,https://cdn.idntimes.com/content-images/community/2019/07/big-1358231-960-720-8ba3de334ccaf29bc9502faa35dd8283_600x400.jpg,Rendah
59,51.0,0.3,0.1,12.1,Biwah segar,Karbo,https://lzd-img-global.slatic.net/g/ff/kf/S1463a138f13a4911a9d6d535825ddb61O.jpg_720x720q80.jpg,Rendah
60,119.0,4.4,3.5,18.3,Bongkrek (tempe bungkil),Karbo,https://assets-a1.kompasiana.com/items/album/2021/01/23/img-20201215-wa0054fix-600b9bfdd541df5c9d4c6c52.jpg,Sedang
61,186.0,11.7,9.7,13.0,Botok lamtoro,Karbo,https://upload.wikimedia.org/wikipedia/commons/c/c4/Brem_Madiun.JPG,Sedang
62,249.0,3.4,0.4,58.0,Brem,Karbo,https://cdn.idntimes.com/content-images/community/2020/07/lg-k15522919710053-2-25e6aa2e5c1611522cabcd2dad7de10f.jpg,Sedang
63,400.0,4.0,0.7,95.3,Brondong ,Karbo,https://asset.kompas.com/crops/GCuybR2DVru6BFg_rszv6WI4n_g=/0x0:1000x667/780x390/data/photo/2020/11/02/5f9f84e0407e9.jpg,Tinggi
64,141.0,15.3,3.3,12.6,Brongkos,Protein,https://docplayer.info/docs-images/102/153072846/images/35-4.jpg,Sedang
65,23.0,0.8,0.2,5.2,Buah Atung,Karbo,https://bibitbunga.com/wp-content/uploads/2016/09/tanaman-labu-madu-butternut-squash.jpg,Rendah
66,110.0,1.4,2.1,21.4,Buah kelenting ,Karbo,https://statik.tempo.co/data/2020/09/18/id_967992/967992_720.jpg,Sedang
67,38.0,1.5,0.2,7.5,Buah kelor,Karbo,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2021/2/25/8a8932b4-ab82-4346-835e-07171fc1afec.jpg,Rendah
68,71.0,1.7,3.1,9.1,Buah Naga Merah ,Karbo,https://cf.shopee.co.id/file/957f1f3ed49275a0fe2f2d9ac37524e4,Rendah
69,56.0,0.8,1.0,10.9,Buah Naga Putih ,Karbo,https://res.cloudinary.com/dk0z4ums3/image/upload/v1648442001/attached_image/manfaat-buah-markisa-yang-perlu-anda-ketahui.jpg,Rendah
70,55.0,1.2,0.1,12.2,Buah negri segar,Karbo,https://www.pantau.com/wp-content/uploads/2022/04/191111044328-buah-nona-buah-langka-yang-memiliki-segundang-manfaat-bagi-kesehatan.jpg,Rendah
71,60.0,1.0,60.0,13.0,Bubur ,Lemak,https://img-global.cpcdn.com/recipes/541f0543f5b40b2a/680x482cq70/bubur-sagu-foto-resep-utama.jpg,Rendah
72,167.0,0.2,4.0,33.0,Bubur sagu,Karbo,https://asset.kompas.com/crops/8IPl4RcIfLh3fkwXhKHPuPHqoz8=/81x22:892x563/750x500/data/photo/2020/05/13/5ebbdec618a37.jpg,Sedang
73,156.0,2.3,0.2,15.6,Bubur Manado,Karbo,https://asset.kompas.com/crops/MGdiKvcc-R0j5purun8FmiLeX_U=/0x0:0x0/750x500/data/photo/2020/12/23/5fe2c9413a6ce.jpg,Sedang
74,72.0,11.4,4.9,1.4,Bulgogi ,Protein,https://chanelmuslim.com/wp-content/uploads/2016/04/jaje-bulung.jpg,Rendah
75,30.0,2.2,0.2,6.4,Buncis rebus,Karbo,https://images.tokopedia.net/img/cache/500-square/product-1/2017/11/18/6350250/6350250_3b502bca-8413-4817-8625-302d3e4a21c0_626_381.jpg,Rendah
76,42.0,2.0,1.1,6.1,Bunga turi segar,Karbo,https://www.pertanianku.com/wp-content/uploads/2021/04/Manfaat-Biji-Karet-Selain-Jadi-Benih.jpg,Rendah
77,333.0,29.3,3.3,50.0,Bungkil Biji Karet,Karbo,https://images.tokopedia.net/img/cache/700/VqbcmM/2021/10/20/34e1ca8b-cb9d-46ae-8088-0c9ea431f9f6.jpg,Tinggi
78,336.0,37.4,13.0,30.5,Bungkil Kacang Tanah,Protein,https://images.tokopedia.net/img/cache/700/hDjmkQ/2022/1/29/4e91f29e-92d7-4178-a7d2-774f994714e1.jpg,Tinggi
79,368.0,23.0,15.0,40.0,Bungkil Kelapa,Karbo,https://asset.kompas.com/crops/vCayyRtg4fGtL3Y9EnpXrWr_TIw=/3x0:700x465/750x500/data/photo/2021/02/08/6020e623372b3.jpg,Tinggi
80,106.0,4.4,6.3,7.9,Buntil ,Karbo,https://i0.wp.com/borobudurnews.com/wp-content/uploads/2021/05/buntil-daun-talas-khas-Magelang.jpg?fit=979%2C579&ssl=1,Sedang
81,141.0,4.4,10.2,8.0,Buntil daun talas,Lemak,https://www.masakapahariini.com/wp-content/uploads/2022/06/resep-buras.jpg,Sedang
82,125.7,3.3,1.9,23.9,Buras ,Karbo,https://premiumnest-5c4c.kxcdn.com/wp-content/uploads/2016/07/SS_white_900x600-4.jpg,Sedang
83,367.0,15.9,6.2,61.8,Cabai merah kering,Karbo,https://asset-a.grid.id/crop/0x0:0x0/700x465/photo/2019/03/09/2750049933.jpg,Tinggi
84,36.0,1.0,0.3,7.3,Cabai merah segar,Karbo,https://asset.kompas.com/crops/0bQZazreqC3rXuoZOPv1FDQWLl4=/0x0:1000x667/750x500/data/photo/2020/03/26/5e7cbe05c9d12.jpg,Rendah
85,120.0,4.7,2.4,19.9,Cabai rawit segar,Karbo,https://images.tokopedia.net/img/cache/700/product-1/2020/4/5/5400804/5400804_d23967b7-039f-4904-97d8-6a303aae6628_1051_1051.jpg,Sedang
86,20.0,1.7,0.4,3.4,Caisin segar,Karbo,https://indonesiakaya.com/wp-content/uploads/2020/10/Ikan_Asar_yang_sudah_matang_dan_siap_untuk_disajikan_atau_diolah_lagi_.jpg,Rendah
87,155.0,20.1,3.8,10.2,Cakalang asap,Protein,https://resepkoki.id/wp-content/uploads/2016/12/Resep-Bolu-Tape.jpg,Sedang
88,323.0,4.9,11.5,50.1,Cake tape,Karbo,https://1.bp.blogspot.com/-Zmr_06Y7tCo/Xgw2ac9m9JI/AAAAAAAAEwg/qTFriUUdEGUpqOfGkkxvlY5STGOXhlUiQCLcBGAsYHQ/s1600/Camme%2BTuttu.png,Tinggi
89,97.0,5.8,6.3,4.2,Cap cai sayur,Lemak,https://i0.wp.com/ygi.or.id/wp-content/uploads/2021/10/Manfaat-pepaya-www.ygi_.or_.id_.jpg?resize=678%2C381&ssl=1,Rendah
90,24.0,1.9,0.2,3.7,Carica papaya segar,Karbo,https://img-global.cpcdn.com/recipes/28197e7ad5840e48/680x482cq70/cassava-cheese-stick-with-veggies-foto-resep-utama.jpg,Rendah
91,460.0,0.8,18.7,17.2,Cassava stick,Lemak,https://images.genpi.co/uploads/kalbar/arsip/normal/2022/07/15/buah-cempedak-foto-istockphotocom-n3j5.jpg,Tinggi
92,116.0,3.0,0.4,28.6,Cempedak,Karbo,https://nilaigizi.com/assets/images/produk/produk_1537345513.jpg,Sedang
93,462.0,1.2,20.7,67.7,Ceriping getuk singkong,Karbo,https://img-global.cpcdn.com/recipes/ff7dc38da72458fa/680x482cq70/ayam-teriyaki-ala-hokben-foto-resep-utama.jpg,Tinggi
94,168.0,13.0,9.6,7.5,Chicken teriyaki ,Protein,https://drive.google.com/file/d/1LZOGoU3M3XcPbU5_HaAZ26ybCTbiTXpT/view?usp=sharing,Sedang
95,143.0,9.8,1.4,22.8,Chikiniku ,Karbo,https://static.sehatq.com/content/review/image/1622196432.jpeg,Sedang
96,311.0,8.0,4.0,48.9,Coklat bubuk,Karbo,https://www.mampu.or.id/wp-content/uploads/2022/10/6007a9065cace.jpeg,Tinggi
97,472.0,2.0,29.8,62.7,Coklat Manis ,Karbo,https://nilaigizi.com/assets/images/produk/produk_1535873875.jpg,Tinggi
98,504.0,5.5,52.9,29.2,Coklat Pahit ,Lemak,https://www.nyonyor.com/wp-content/uploads/2018/11/Harga-Coklat-Batangan-Terbaru-540x350.jpg,Tinggi
99,381.0,9.0,35.0,53.6,Coklat Susu ,Karbo,https://assets.suaramerdeka.com/crop/7x38:699x495/750x500/webp/photo/2021/11/01/2899515089.jpg,Tinggi
100,210.0,1.6,6.6,35.8,Combro ,Karbo,https://www.jessicagavin.com/wp-content/uploads/2023/03/corned-beef-hash-15-1200.jpg,Sedang
101,241.0,16.0,25.0,0.0,Corned Beef,Lemak,https://eljohnnews.com/wp-content/uploads/2018/08/Wisata-Kuliner-Coto-Makassar.png,Sedang
102,96.0,6.8,5.9,3.8,Coto mangkasara kuda ,Protein,https://asset.kompas.com/crops/ljY1r3f3HJaNEuLip3iARQOaK-E=/0x1226:3000x3226/750x500/data/photo/2021/06/11/60c2acf88c6f0.jpg,Rendah
103,84.0,6.0,6.0,1.4,Coto mangkasara sapi ,Protein,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2021/8/14/a5d8db60-6ecb-4ddc-9375-7d0e6c35ad79.jpg,Rendah
104,145.0,27.0,2.3,0.0,Cue Selar Kuning,Protein,https://images.bisnis.com/posts/2021/02/01/1350454/cuka.jpg,Sedang
105,12.0,0.1,0.1,5.0,Cuka,Karbo,https://i0.wp.com/resepmasakandapurarie.com/wp-content/uploads/2014/09/Resep-Cumi-Goreng-Tepung-Crispy-.jpg,Rendah
106,265.0,40.6,10.1,0.0,Cumi-cumi goreng,Protein,https://www.malang-guidance.com/wp-content/uploads/2018/02/Supplier-Cumi-Segar-Malang.jpg,Sedang
107,191.0,32.0,6.0,0.0,Daging Asap,Protein,https://assets.pikiran-rakyat.com/crop/0x53:1280x855/x/photo/2020/05/11/151297858.jpg,Sedang
108,206.0,17.1,14.8,0.0,Daging Domba,Protein,https://imgx.parapuan.co/crop/0x0:0x0/x/photo/2021/07/20/istock-538918713jpg-20210720042557.jpg,Sedang
109,154.0,16.6,9.2,0.0,Daging Kambing,Protein,https://awsimages.detik.net.id/community/media/visual/2016/07/15/209987a0-2b65-461e-aec5-e7432a4012f2_169.jpg?w=700&q=90,Sedang
110,84.0,18.7,0.5,0.0,Daging Kerbau,Protein,https://awsimages.detik.net.id/community/media/visual/2021/07/29/fakta-daging-kuda-2.jpeg?w=724,Rendah
111,118.0,18.1,4.1,0.9,Daging Kuda,Protein,https://asset.kompas.com/crops/loXNzgMXFEX_3avDpy_53_3rXsU=/1x0:1000x666/750x500/data/photo/2021/07/14/60ee601a87545.jpg,Sedang
112,207.0,18.8,14.0,0.0,Daging Sapi,Protein,https://assets-a1.kompasiana.com/items/album/2021/11/23/bangun-bangun-bks-619c4900c26b7758a7749f33.jpg,Sedang
113,29.0,1.8,0.7,5.2,Daun Bawang,Karbo,https://media.istockphoto.com/id/597675376/id/foto/daun-bawang-merah-segar.jpg?s=1024x1024&w=is&k=20&c=vjx8lvI9LQGkXe24K8FT_GTriW-k3B1azWaSWpAiQwY=,Rendah
114,53.0,5.3,0.9,9.1,Daun katuk rebus,Karbo,https://images.tokopedia.net/img/cache/500-square/product-1/2018/11/8/1626651/1626651_18da08cc-9923-436e-9efe-69934ac75af0_700_393.jpg,Rendah
115,61.0,6.1,0.9,10.0,Daun Kelor rebus,Karbo,https://d1vbn70lmn1nqe.cloudfront.net/prod/wp-content/uploads/2021/11/01025747/ini-4-manfaat-daun-kemangi-yang-jarang-diketahui-halodoc.jpg,Rendah
116,46.0,4.0,0.5,8.9,Daun Kemangi,Karbo,https://assets.ayobandung.com/crop/0x0:0x0/750x500/webp/photo/2022/12/18/1000776031.jpg,Rendah
117,22.0,2.1,0.5,3.6,Daun kol sawi segar,Karbo,https://tanamankoropedang.files.wordpress.com/2011/10/bunga-koro-pedang41.jpg,Rendah
118,23.0,3.0,0.3,3.7,Daun Koro,Karbo,https://nilaigizi.com/assets/images/produk/produk_1599051215.jpg,Rendah
119,51.0,2.5,1.1,8.0,Daun kubis segar,Karbo,https://blog.kuranesia.com/wp-content/uploads/2020/12/siomak-makanan-kura-kura-1024x768.jpg,Rendah
120,14.0,1.3,0.3,2.3,Daun Kumak,Karbo,https://aksikata.com/wp-content/uploads/2019/05/daun-labu-siam.jpg,Rendah
121,60.0,4.0,0.4,4.7,Daun Labu Siam,Karbo,https://www.parenting.co.id/img/images/B1.jpg,Rendah
122,30.0,3.6,0.6,4.5,Daun Labu Waluh,Karbo,https://images.tokopedia.net/img/cache/700/product-1/2019/8/18/2557427/2557427_56747d87-c701-4023-80e8-2afe684f3653_480_480.jpg,Rendah
123,87.0,8.3,1.8,14.4,Daun lamtoro segar,Karbo,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2021/9/25/83b72d5f-d787-44e2-8948-a39c39825c37.jpg,Rendah
124,76.0,2.8,0.2,15.8,Daun leilem segar,Karbo,https://www.bengkuluinteraktif.com/sites/default/files/articles/Pucuk%20Lumai.jpg,Rendah
125,45.0,4.7,0.5,8.1,Daun Leunca,Karbo,https://cms.sehatq.com/public/img/article_img/9-manfaat-daun-lobak-yang-tidak-diduga-duga-1606467271.jpg,Rendah
126,30.0,2.3,0.4,5.8,Daun Lobak,Karbo,https://akcdn.detik.net.id/visual/2015/02/24/8175622a-42e8-494b-a380-e9a910f492bc_169.jpg?w=650,Rendah
127,40.0,3.0,0.8,7.4,Daun Lompong Tales,Karbo,https://i0.wp.com/resepkoki.id/wp-content/uploads/2017/08/daun-mangkokan-sajian-sedap.jpg?fit=960%2C631&ssl=1,Rendah
128,54.0,3.7,0.3,11.8,Daun Mangkokan,Karbo,https://i.ytimg.com/vi/lPwmWQFW8nU/maxresdefault.jpg,Rendah
129,22.0,1.0,0.1,5.3,Daun Oyong,Karbo,https://cdn.antaranews.com/cache/730x487/2018/07/daun-oyong.jpg,Rendah
130,128.0,12.0,6.5,12.4,Daun Pete Cina,Karbo,https://cdns.klimg.com/merdeka.com/i/w/news/2020/11/09/1240320/content_images/670x335/20201109100132-1-daun-pohpohan-001-nurul-diva-kautsar.jpg,Sedang
131,37.0,2.5,0.8,6.9,Daun Poh-pohan,Karbo,https://nilaigizi.com/assets/images/produk/produk_1537345863.jpg,Rendah
132,55.0,4.0,0.5,8.5,Daun Singkong lodeh,Karbo,https://img-global.cpcdn.com/recipes/0aba29b97a7b109f/680x482cq70/daun-singkong-rebus-ala-rm-padang-foto-resep-utama.jpg,Rendah
133,31.0,3.7,0.6,4.8,Daun Singkong rebus,Karbo,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2021/3/14/5b176e26-9bf1-486e-ba6f-ec448cf01472.jpg,Rendah
134,56.0,3.1,0.3,13.0,Daun Ubi Jalar kukus,Karbo,https://images.tokopedia.net/img/cache/700/hDjmkQ/2021/1/17/dd16436c-6a1f-4900-8c9e-1e7654adf66b.jpg,Rendah
135,260.0,2.0,15.0,53.0,Deblo ,Karbo,https://selerasa.com/wp-content/uploads/2015/11/images_dendeng-belut.JPG,Sedang
136,382.0,55.7,14.1,8.0,Dendeng belut goreng,Protein,https://awsimages.detik.net.id/community/media/visual/2022/02/20/resep-dendeng-sapi-medan_43.jpeg?w=700&q=90,Tinggi
137,433.0,55.0,9.0,0.0,Dendeng Daging Sapi,Protein,https://img-global.cpcdn.com/recipes/c49ebd05c391ae54/680x482cq70/dendeng-mujair-foto-resep-utama.jpg,Tinggi
138,598.0,74.3,26.9,9.2,Dendeng mujahir goreng,Protein,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEh9d4T1r7jHqSELzd2b3KBFeJlzKWtbaUIbOrsHTyKYSr_SJvpO2EijjASugjDKlv0-WhFvsRpcskdPJx95G3cpox3XJVzjTbDJQaISa_egWAzjYl3Cd8Zb0hXWGcIGj8KavQ37Uu6qRvTtob_G9TAIxgfhI4Xz2yKfM_PuI3PixHmXXHJySQ70I4e9dQ/s600/dideh.jpg,Tinggi
139,395.0,3.0,5.7,81.2,Dodol,Karbo,https://awsimages.detik.net.id/community/media/visual/2022/06/13/dodol-khas-bali-berbungkus-kulit-jagung-kering-buatan-perajin-dodol-di-desa-penglatan-kecamatan-buleleng-kabupaten-buleleng_169.jpeg?w=620,Tinggi
140,298.0,3.7,2.1,65.9,Dodol bali,Karbo,https://indonesiakaya.com/wp-content/uploads/2020/10/4__Sentra_pembuatan_dodol_Kandangan_berada_di_kabupaten_Hulu_Sungai_Selatan_kota_Banjarmasin_Kalimantan_Selatan_edit.jpg,Sedang
